Initializing I2C devices...									
Testing device connections...									
ax	ay	az			0		INC_ax	INC_ay	INC_az
6047	-9046	11086	1	Y+			-6781	11837	-12526
-734	2791	-1440	1	-			976	-1013	5066
242	1778	3626	1	-			310	1809	19282
552	3587	22908	1	-			-922	-4765	-28868
-370	-1178	-5960	1	-			-769	5644	9008
-1139	4466	3048	1	-			1199	-4857	-2999
60	-391	49	1	-			1636	43	5286
1696	-348	5335	1	-			-1665	232	-3174
31	-116	2161	1	-			-190	-180	-356
-159	-296	1805	1	-			118	-253	1482
-41	-549	3287	1	-			-1	329	-1419
-42	-220	1868	1	-			182	-179	376
140	-399	2244	1	-			388	-112	3
528	-511	2247	1	-			-131	191	-594
397	-320	1653	1	-			-125	74	460
272	-246	2113	1	-			-27	24	135
245	-222	2248	1	-			-42	-17	-12
203	-239	2236	1	-			70	-122	120
273	-361	2356	1	-			148	28	147
421	-333	2503	1	-			-100	203	-168
321	-130	2335	1	-			-60	-81	-177
261	-211	2158	1	-			44	3	-21
305	-208	2137	1	-			-58	71	33
247	-137	2170	1	-			-66	102	277
181	-35	2447	1	-			35	-27	54
216	-62	2501	1	-			-136	236	262
80	174	2763	1	-			-5	93	64
75	267	2827	1	-			-94	111	-4
-19	378	2823	1	-			-48	-6	-149
-67	372	2674	1	-			-45	-30	-106
-112	342	2568	1	-			-18	-117	-124
-130	225	2444	1	-			36	-87	-132
-94	138	2312	1	-			-67	-46	-78
-161	92	2234	1	-			18	-73	-97
-143	19	2137	1	-			-70	4	-32
-213	23	2105	1	-			49	7	-35
-164	30	2070	1	-			-37	30	-42
-201	60	2028	1	-			14	40	-13
-187	100	2015	1	-			13	-20	2
-174	80	2017	1	-			29	-21	-29
-145	59	1988	1	-			48	-23	-8
-97	36	1980	1	-			-5	-9	-15
-102	27	1965	1	-			23	-22	-14
-79	5	1951	1	-			-20	-18	17
-99	-13	1968	1	-			36	0	-33
-63	-13	1935	1	-			-53	-5	21
-116	-18	1956	1	-			10	-34	-53
-106	-52	1903	1	-			1	12	11
-105	-40	1914	1	-			-3	19	-9
-108	-21	1905	1	-			55	16	-18
-53	-5	1887	1	-			-14	-43	-33
-67	-48	1854	1	-			40	53	-46
-27	5	1808	1	-			-26	11	16
-53	16	1824	1	-			73	-58	-63
20	-42	1761	1	-			-16	15	-74
4	-27	1687	1	-			-4	55	4
0	28	1691	1	-			16	-45	-20
16	-17	1671	1	-			-1	13	-28
15	-4	1643	1	-			-38	6	-29
-23	2	1614	1	-			-24	42	-16
-47	44	1598	1	-			4	0	-12
-43	44	1586	1	-			-23	18	-23
-66	62	1563	1	-			10	10	-40
-56	72	1523	1	-			-22	24	-37
-78	96	1486	1	-			47	-4	-56
-31	92	1430	1	-			-26	-4	-37
-57	88	1393	1	-			8	6	-70
-49	94	1323	1	-			-30	-21	-17
-79	73	1306	1	-			-2	-5	-67
-81	68	1239	1	-			18	-30	-60
-63	38	1179	1	-			-30	-21	-2
-93	17	1177	1	-			3	-31	-57
